date,f0_
2022,14058773.308511205
2021,18020788.235327955
2020,16388871.465792485
2019,15441642.26934908
2018,14920063.002949355
2017,15007159.15240931
2016,14472627.324246826
2015,13536355.799741711
2014,11783621.981728954
2013,11581842.546175603
2012,10103606.907054169
