Year,state_code,parent_metro_region,sales_price,list_prices,home_sold,total_sales,off_market_in_two_weeks
2021,IN,"Indianapolis, IN",20460150.033,20196535.347,159319.82085,156149.22692000002,61.378286106999994
2021,IN,"North Vernon, IN",7390150.0,7184115.7532000011,1045.42800192,956.00059008000017,30.681265779
2021,IN,"Gary, IN",22002368.572,22703646.125,32249.791555999996,40269.048945999995,15.290183938999999
2021,IN,"Connersville, IN",7215090.0,6585860.0,167.885623977,168.0,23.533333334
2021,IN,"Richmond, IN",7165914.272,7007317.0,380.0,369.0,18.912896822999997
2021,IN,"Peru, IN",3480600.0,3009450.0,662.0,482.0,3.3185269810000007
2021,IN,"Muncie, IN",6361792.293,7563975.5,3191.7193436,2515.4165484,3.698077745
2021,IN,"Vincennes, IN",4390125.0,3576300.0,736.0,504.0,1.8896400399999997
2021,IN,"Bluffton, IN",5373520.0,4224650.0,638.0,500.0,2.395127096
2021,IN,"Decatur, IN",4342656.0,3600250.0,526.0,406.0,1.249123783
2021,IN,"Warsaw, IN",10790046.0,15097763.0,2481.8409090000005,1904.0,1.3580705899999996
2021,IN,"Kokomo, IN",6205427.5,9241016.7048000023,3212.0,2603.0,3.593161045
2021,IN,"Columbus, IN",16773957.684,17468649.5,5461.0691680000009,5357.1832594,39.743067589000006
2021,IN,"Frankfort, IN",4103750.0,3864800.0,646.0,534.0,1.290091168
2021,IN,"Plymouth, IN",8322647.5,8615350.0,1012.0,738.0,2.308167433
2021,IN,"Auburn, IN",6055488.5,5182450.0,1202.0,986.0,2.1764768450000003
2021,IN,"Michigan City, IN",17996416.008999996,17506433.856000002,6113.6479537000005,5441.3164173,9.13647237
2021,IN,"Greensburg, IN",9357105.655199999,9158951.4613,1395.86953082,1340.1305286700003,31.553477854
2021,IN,"Crawfordsville, IN",9964469.1117,10593181.087499997,2492.8669664,2473.2919231,43.279853327
2021,KS,"Parsons, KS",1684150.0,3460250.0,388.0,222.0,0.333333334
2021,KS,"Coffeyville, KS",2219300.0,1767000.0,868.0,508.0,1.749704772
2021,KS,"Hutchinson, KS",6741619.9924,5275187.3902999992,3418.8523602,2801.6909598,2.063637832
2021,KS,"Emporia, KS",4700800.0,7045125.0,888.0,698.0,3.5428160980000003
2021,KY,"Danville, KY",10901533.186800001,10487095.9812,2522.999049,2282.3693551,23.209527068
2021,KY,"Paducah, KY",14754975.0,14062910.0001,5275.8445064000007,3684.5182267,10.335981673000001
2021,KY,"Central City, KY",3384700.0,3457800.0,352.0,206.0,1.576068376
2021,KY,"Madisonville, KY",5945561.4025,7335661.0,1483.0,54.0,2.071428572
2021,KY,"Murray, KY",6138433.0,6192275.0,1094.0,857.0,2.988907871
2021,KY,"Owensboro, KY",10469825.0,12088519.9056,6899.3029440000009,5897.0,7.620941511999999
2021,LA,"Jennings, LA",4304680.0,4513430.0,436.0,240.0,4.308069416
2021,LA,"DeRidder, LA",5951293.0,5220440.0,354.0,126.0,4.6611111100000011
2021,LA,"New Orleans, LA",28927801.933000002,31133010.499,66817.800451,59920.009453,51.65406130800001
2021,LA,"Opelousas, LA",8698500.0,8068771.8661000011,1944.0011937,853.52035791,2.390628381
2021,LA,"Shreveport, LA",8451300.0,8462270.5,9250.0,9262.0,20.402028797
2021,LA,"Minden, LA",2606000.0,2843100.0,454.0,426.0,9.87730688
2021,LA,"Hammond, LA",15403717.0,15941810.8117,6412.0628070999992,5611.2212051999995,53.230477772
2021,MA,"Springfield, MA",25685694.860000003,25826971.38,32008.734372,32165.938967000002,26.648358309
2021,MA,"Boston, MA",63374792.977,63735654.078,220894.60113000002,220635.43953999996,39.789380273
2021,MD,"Baltimore, MD",32380573.777999997,32164014.16,205371.20243999996,196620.24229000002,56.568513029
2021,MD,"California, MD",28557633.748999998,27630532.564,8823.2534585,8195.7502173,40.40098453
2021,MD,"Cambridge, MD",17647883.5,19055068.036999997,1875.0583493,2083.0,28.315552582000002
2021,MD,"Hagerstown, MD",21261744.136000004,22155780.394,23319.088761,21670.680225,50.384069172000004
2021,MD,"Cumberland, MD",9067226.9558,8990721.9992,4651.2731695,3617.0434411999995,26.798383587
2021,ME,"Augusta, ME",17044597.966,17306571.029,7837.1966769,7166.7311894000013,50.72151258
2021,ME,"Bangor, ME",16511354.288999999,16969735.982,8446.3357163,7460.7344162,56.311346256
2021,ME,"Lewiston, ME",17994203.54,17796871.549,5780.3102379999991,5504.6393913,57.28585377000001
2021,MI,"Cadillac, MI",5976060.0,5621350.0,122.0,109.0,5.829761907
2021,MI,"Grand Rapids, MI",21913619.191000003,21588792.840999994,62757.307010000004,60150.906617,60.410290861999989
2021,MI,"Saginaw, MI",10688626.1153,10953116.352100004,10005.230468099999,9550.5449045,53.226293445999993
2021,MI,"Hillsdale, MI",11340062.919099998,10422575.0692,2404.1468165,1829.3468838000003,16.106877244
2021,MI,"Warren, MI",24063340.347,22114774.145999998,176344.74113,176090.13899,48.09518065000001
2021,MI,"Adrian, MI",15639415.079999998,15429901.979,6097.9973359999994,5019.242597200001,25.255855835000002
2021,MI,"Coldwater, MI",9272244.222,9143399.2395000011,1907.6363021000002,1468.29301671,17.01840908
2021,MI,"Niles, MI",19710060.409,17121694.141,10639.838202300001,9060.5077408999987,14.351618400000001
2021,MI,"Big Rapids, MI",12166955.8988,11298748.517900001,2902.1077124,2554.816,25.389068680999998
2021,MI,"Detroit, MI",15428494.862,15385955.876,88695.714887000009,89241.289661,48.669451357000007
2021,MI,"Kalamazoo, MI",18066740.488,18474994.494,15345.349208900001,14371.7536092,57.037955499000006
2021,MN,"Grand Rapids, MN",12437845.0,11254786.959599998,2834.8856297,2399.0840098000003,22.906832606
2021,MN,"Faribault, MN",23518737.727999996,23857161.443,3901.3906231,3701.5939995999997,42.080935491
2021,MN,"Alexandria, MN",21955933.0,21217536.880000003,2798.8107208999995,2470.9470976,35.092738794
2021,MN,"Brainerd, MN",24970988.421,24476786.768999998,9018.2902883,8346.8592566999978,52.689924787
2021,MN,"Owatonna, MN",14228623.685800001,13175200.0,2048.0982010999996,1979.0605000000003,35.882299302999996
2021,MN,"Austin, MN",10566972.9952,9484537.5,2223.8424999,2110.2690663000003,32.8170231
2021,MN,"Fairmont, MN",7196673.4902,6656750.0,960.05762288,861.92782808,24.786017175
2021,MN,"St. Cloud, MN",18516573.262000002,18331960.096,11849.982607,11259.8465052,40.816750004999996
2021,MN,"Bemidji, MN",14426625.945799999,13875419.933500001,2564.6000312,2324.3197348,37.830041594
2021,MO,"Warrensburg, MO",12376677.320999999,12467943.1726,3535.2496039000002,3471.5929076,33.462193982
2021,MO,"West Plains, MO",6008300.0,10372200.0,700.0,458.0,1.433013974
2021,MO,"Farmington, MO",9719859.1879,9327654.7304,4053.4542827000005,3079.3379442000005,12.791177023
2021,MO,"Maryville, MO",9982958.8942,8901892.8445,910.73635728,706.64807807000011,0.2
2021,MO,"Moberly, MO",3500850.0,3392300.0,378.0,346.0,2.124431124
2021,MO,"Poplar Bluff, MO",7096700.0,6869400.0,2590.1731787,1819.2185754000002,8.8497971390000014
2021,MO,"Branson, MO",10475300.0,10775199.0,1942.0,2312.0,7.8543043260000012
2021,MO,"Lebanon, MO",11494809.947900001,5263100.0,2267.0,744.0,5.598819876
2021,MS,"Jackson, MS",19584226.336000003,20537664.385000005,22782.387657000003,17645.6680885,13.842783076000002
2021,MT,"Missoula, MT",26406950.0,26047181.0,3329.3591805,3505.1023860999994,2.68118302
2021,NC,"Marion, NC",12974701.034200003,12588394.6436,1506.2304566999999,1518.62285376,9.814626674
2021,NC,"Hickory, NC",15860715.0,16192485.0,16159.0967457,15285.055196,23.644401082999995
2021,NC,"Wilmington, NC",33779556.350999996,35591452.190000005,24982.174190999995,20033.339121,8.956495635
2021,NC,"Rockingham, NC",3765500.0,3879600.0,134.0,123.0,6.2495254760000005
2021,NC,"Durham, NC",34475815.054000005,36640606.846999995,42964.347668,39571.136592999996,40.124742072000004
2021,NC,"Elizabeth City, NC",15509332.5,14399804.9055,4022.4174852999995,3183.8391380999992,4.445261898
2021,NC,"New Bern, NC",15411376.767,16669675.0,2136.2269699000003,2952.0,7.385926574
2021,NC,"Winston-Salem, NC",20904811.505999997,21160932.303999998,47230.572818999986,42484.596719999994,29.694598799999998
2021,NC,"Mount Airy, NC",11446601.0022,11279697.359499998,3081.0380376000003,2629.1472026999995,13.728330297000001
2021,NC,"Boone, NC",15813250.0,14539149.5,150.0,116.0,7.528571429
2021,NC,"Forest City, NC",16040815.0437,15057394.5089,2995.1755670999996,3289.1227145000003,12.688017492000002
2021,NC,"Cullowhee, NC",8909600.0,8820550.0,680.0,458.0,2.8903863650000003
2021,NC,"North Wilkesboro, NC",10748400.0,6237986.0439,2063.7851505,2156.4029017000003,21.494401552
2021,NC,"Lumberton, NC",9524150.0,9322520.4022,2021.0,1258.0,1.4385081059999998
2021,NC,"Roanoke Rapids, NC",6991685.0,6042047.5,402.52754754999995,362.0,0.733333334
2021,NC,"Goldsboro, NC",12203790.0,11993394.6842,6355.4606270999984,5351.5255141,2.265528989
2021,NC,"Greensboro, NC",19689803.186,19892337.767,49633.730501,44894.163683,34.464490154
2021,NC,"Wilson, NC",12054268.423,11945896.4634,1989.0,1599.41845713,4.35833923
2021,NC,"Sanford, NC",15340900.0,14041108.280900002,3615.3261744999995,3324.3639235,21.536684352
2021,NC,"Pinehurst, NC",21766597.433000002,21702667.5,3514.4518911,2729.9531002999997,10.141887005000001
2021,NC,"Charlotte, NC",32262480.382999998,32953496.991000004,215107.45844000002,,41.786231629
2021,NC,"Albemarle, NC",12833164.572999999,13050590.1803,3972.4559762,3674.2835935,14.389748319
